# Item definition file for Jedi Knight
# ========================================================================================
# name                  id              min     max     flags   args
# ========================================================================================

###########
# Weapons #
###########

# ========================================================================================
none                    0               0       0       0x004
fists                   1               0       1       0x024   cog=weap_fists.cog
bryar_pistol            2               0       1       0x0a4   cog=weap_bryar.cog
stormtrooper_rifle      3               0       1       0x0a4   cog=weap_strifle.cog
thermal_detonator       4               0       9      0x0a4   cog=weap_thermdet.cog
tusken_prod             5               0       1       0x0a4   cog=weap_crossbow.cog
repeater                6               0       1       0x0a4   cog=weap_repeater.cog
rail_detonator          7               0       1       0x0a4   cog=weap_raildet.cog
sequencer_charge        8               0       30      0x0a4   cog=weap_seqcharge.cog
concussion_rifle        9               0       1       0x0a4   cog=weap_concrifle.cog
lightsaber              10              0       1       0x0a4   cog=weap_saber.cog
# ========================================================================================


###################
# Ammo and Energy #
###################

# ========================================================================================
#energy is used for bryar pistol and stormtrooper rifle.
energy                  11              0       999     0x080

#power is used for the the bowcaster, repeater and concussion rifle.
power                   12              0       999     0x080

#battery is used for other inventory items.
battery                 13              0       200     0x020

#force is used for the force powers.
forcemana               14              0       400     0x000

#rail charges
railcharges             15              0       999      0x080
# ========================================================================================


###########
# Bonuses #
###########

#new force stars gained in a level.
new_stars               16              0       32      0x000

#spendable stars
spend_stars             17              0       32      0x000

#the choice
choice                  18              0       2      0x000

#############################
# Damage multiplier powerup #
#############################

# ========================================================================================
# Bin 19 is reserved !!!
# Damage multiplier powerup should come before force powers...
# ========================================================================================


##############
#Force Powers#
##############

# Note that the icon names are taken from these names:
# ========================================================================================
# Attributes
jedi_rank               20              0       8.0     0x000   cog=force_well.cog
# ........................................................................................

# Basic Powers
f_jump                  21              0       4.0     0x108   cog=force_jump.cog
f_speed                 22              0       4.0     0x108   cog=force_speed.cog
f_seeing                23              0       4.0     0x108   cog=force_seeing.cog
f_pull                  24              0       4.0     0x108   cog=force_pull.cog
# ........................................................................................

# Light Side Powers
f_healing               25              0       4.0     0x108    cog=force_heal.cog
f_persuasion            26              0       4.0     0x108    cog=force_persuasion.cog
f_blinding              27              0       4.0     0x108    cog=force_blinding.cog
f_absorb                28              0       4.0     0x118    cog=force_absorb.cog
# ........................................................................................

# Light Side Bonus Powers
